,0
0,"[(103.488, 31.058), (103.488, 31.121), (103.488, 31.183999999999997), (103.488, 31.246999999999996), (103.488, 31.309999999999995), (103.488, 31.372999999999994), (103.488, 31.435999999999993), (103.488, 31.49899999999999), (103.488, 31.56199999999999), (103.488, 31.62499999999999), (103.488, 31.687999999999988), (103.488, 31.750999999999987), (103.488, 31.813999999999986), (103.488, 31.876999999999985), (103.488, 31.939999999999984), (103.488, 32.002999999999986), (103.488, 32.06599999999999), (103.488, 32.12899999999999)]"
1,"[(103.562, 32.06599999999999), (103.562, 32.12899999999999), (103.562, 32.19199999999999), (103.562, 32.254999999999995), (103.562, 32.318), (103.562, 32.381), (103.562, 32.444), (103.562, 32.507000000000005), (103.562, 32.57000000000001), (103.562, 32.63300000000001), (103.562, 32.69600000000001), (103.562, 32.759000000000015), (103.562, 32.82200000000002), (103.562, 32.88500000000002), (103.562, 32.94800000000002), (103.562, 33.011000000000024), (103.562, 33.07400000000003), (103.562, 33.13700000000003)]"
2,"[(103.637, 33.07400000000003), (103.637, 33.13700000000003), (103.637, 33.20000000000003), (103.637, 33.263000000000034), (103.637, 33.326000000000036), (103.637, 33.38900000000004), (103.637, 33.45200000000004), (103.637, 33.51500000000004), (103.637, 33.578000000000046), (103.637, 33.64100000000005), (103.637, 33.70400000000005), (103.637, 33.76700000000005), (103.637, 33.830000000000055), (103.637, 33.89300000000006), (103.637, 33.95600000000006), (103.637, 34.01900000000006), (103.637, 34.082000000000065), (103.637, 34.14500000000007)]"
3,"[(103.713, 34.082000000000065), (103.713, 34.14500000000007), (103.713, 34.20800000000007), (103.713, 34.27100000000007), (103.713, 34.334000000000074), (103.713, 34.39700000000008), (103.713, 34.46000000000008), (103.713, 34.52300000000008), (103.713, 34.586000000000084), (103.713, 34.649000000000086), (103.713, 34.71200000000009), (103.713, 34.77500000000009), (103.713, 34.83800000000009), (103.713, 34.901000000000096), (103.713, 34.9640000000001), (103.713, 35.0270000000001), (103.713, 35.0900000000001), (103.713, 35.153000000000105)]"
4,"[(103.78999999999999, 35.0900000000001), (103.78999999999999, 35.153000000000105), (103.78999999999999, 35.21600000000011), (103.78999999999999, 35.27900000000011), (103.78999999999999, 35.34200000000011), (103.78999999999999, 35.405000000000115), (103.78999999999999, 35.46800000000012), (103.78999999999999, 35.53100000000012), (103.78999999999999, 35.59400000000012), (103.78999999999999, 35.657000000000124), (103.78999999999999, 35.72000000000013), (103.78999999999999, 35.78300000000013), (103.78999999999999, 35.84600000000013), (103.78999999999999, 35.909000000000134), (103.78999999999999, 35.972000000000136), (103.78999999999999, 36.03500000000014), (103.78999999999999, 36.09800000000014), (103.78999999999999, 36.16100000000014)]"
5,"[(103.868, 36.09800000000014), (103.868, 36.16100000000014), (103.868, 36.224000000000146), (103.868, 36.28700000000015), (103.868, 36.35000000000015), (103.868, 36.41300000000015), (103.868, 36.476000000000155), (103.868, 36.53900000000016), (103.868, 36.60200000000016), (103.868, 36.66500000000016), (103.868, 36.728000000000165), (103.868, 36.79100000000017), (103.868, 36.85400000000017), (103.868, 36.91700000000017), (103.868, 36.980000000000175), (103.868, 37.04300000000018), (103.868, 37.10600000000018), (103.868, 37.16900000000018)]"
6,"[(103.94699999999999, 37.10600000000018), (103.94699999999999, 37.16900000000018), (103.94699999999999, 37.232000000000184), (103.94699999999999, 37.295000000000186), (103.94699999999999, 37.35800000000019), (103.94699999999999, 37.42100000000019), (103.94699999999999, 37.484000000000194), (103.94699999999999, 37.547000000000196), (103.94699999999999, 37.6100000000002), (103.94699999999999, 37.6730000000002), (103.94699999999999, 37.7360000000002), (103.94699999999999, 37.799000000000206), (103.94699999999999, 37.86200000000021), (103.94699999999999, 37.92500000000021), (103.94699999999999, 37.98800000000021), (103.94699999999999, 38.051000000000215), (103.94699999999999, 38.11400000000022), (103.94699999999999, 38.17700000000022)]"
7,"[(104.02699999999999, 38.11400000000022), (104.02699999999999, 38.17700000000022), (104.02699999999999, 38.24000000000022), (104.02699999999999, 38.303000000000225), (104.02699999999999, 38.36600000000023), (104.02699999999999, 38.42900000000023), (104.02699999999999, 38.49200000000023), (104.02699999999999, 38.555000000000234), (104.02699999999999, 38.61800000000024), (104.02699999999999, 38.68100000000024), (104.02699999999999, 38.74400000000024), (104.02699999999999, 38.807000000000244), (104.02699999999999, 38.870000000000246), (104.02699999999999, 38.93300000000025), (104.02699999999999, 38.99600000000025), (104.02699999999999, 39.05900000000025), (104.02699999999999, 39.122000000000256), (104.02699999999999, 39.18500000000026)]"
8,"[(104.10799999999999, 39.122000000000256), (104.10799999999999, 39.18500000000026), (104.10799999999999, 39.24800000000026), (104.10799999999999, 39.31100000000026), (104.10799999999999, 39.374000000000265), (104.10799999999999, 39.43700000000027), (104.10799999999999, 39.50000000000027), (104.10799999999999, 39.56300000000027), (104.10799999999999, 39.626000000000275), (104.10799999999999, 39.68900000000028), (104.10799999999999, 39.75200000000028), (104.10799999999999, 39.81500000000028), (104.10799999999999, 39.878000000000284), (104.10799999999999, 39.94100000000029), (104.10799999999999, 40.00400000000029), (104.10799999999999, 40.06700000000029), (104.10799999999999, 40.130000000000294), (104.10799999999999, 40.193000000000296)]"
9,"[(104.18999999999998, 40.130000000000294), (104.18999999999998, 40.193000000000296), (104.18999999999998, 40.2560000000003), (104.18999999999998, 40.3190000000003), (104.18999999999998, 40.3820000000003), (104.18999999999998, 40.445000000000306), (104.18999999999998, 40.50800000000031), (104.18999999999998, 40.57100000000031), (104.18999999999998, 40.63400000000031), (104.18999999999998, 40.697000000000315), (104.18999999999998, 40.76000000000032), (104.18999999999998, 40.82300000000032), (104.18999999999998, 40.88600000000032), (104.18999999999998, 40.949000000000325), (104.18999999999998, 41.01200000000033), (104.18999999999998, 41.07500000000033), (104.18999999999998, 41.13800000000033), (104.18999999999998, 41.201000000000334)]"
10,"[(104.27399999999999, 41.13800000000033), (104.27399999999999, 41.201000000000334), (104.27399999999999, 41.26400000000034), (104.27399999999999, 41.32700000000034), (104.27399999999999, 41.39000000000034), (104.27399999999999, 41.453000000000344), (104.27399999999999, 41.516000000000346), (104.27399999999999, 41.57900000000035), (104.27399999999999, 41.64200000000035), (104.27399999999999, 41.705000000000354), (104.27399999999999, 41.768000000000356), (104.27399999999999, 41.83100000000036), (104.27399999999999, 41.89400000000036), (104.27399999999999, 41.95700000000036), (104.27399999999999, 42.020000000000366), (104.27399999999999, 42.08300000000037), (104.27399999999999, 42.14600000000037), (104.27399999999999, 42.20900000000037)]"
11,"[(104.35899999999998, 42.14600000000037), (104.35899999999998, 42.20900000000037), (104.35899999999998, 42.272000000000375), (104.35899999999998, 42.33500000000038), (104.35899999999998, 42.39800000000038), (104.35899999999998, 42.46100000000038), (104.35899999999998, 42.524000000000385), (104.35899999999998, 42.58700000000039), (104.35899999999998, 42.65000000000039), (104.35899999999998, 42.71300000000039), (104.35899999999998, 42.776000000000394), (104.35899999999998, 42.8390000000004), (104.35899999999998, 42.9020000000004), (104.35899999999998, 42.9650000000004), (104.35899999999998, 43.028000000000404), (104.35899999999998, 43.091000000000406), (104.35899999999998, 43.15400000000041), (104.35899999999998, 43.21700000000041)]"
12,"[(104.44499999999998, 43.15400000000041), (104.44499999999998, 43.21700000000041), (104.44499999999998, 43.28000000000041), (104.44499999999998, 43.343000000000416), (104.44499999999998, 43.40600000000042), (104.44499999999998, 43.46900000000042), (104.44499999999998, 43.53200000000042), (104.44499999999998, 43.595000000000425), (104.44499999999998, 43.65800000000043), (104.44499999999998, 43.72100000000043), (104.44499999999998, 43.78400000000043), (104.44499999999998, 43.847000000000435), (104.44499999999998, 43.91000000000044), (104.44499999999998, 43.97300000000044), (104.44499999999998, 44.03600000000044), (104.44499999999998, 44.099000000000444), (104.44499999999998, 44.16200000000045), (104.44499999999998, 44.22500000000045)]"
13,"[(104.53299999999997, 44.16200000000045), (104.53299999999997, 44.22500000000045), (104.53299999999997, 44.28800000000045), (104.53299999999997, 44.351000000000454), (104.53299999999997, 44.414000000000456), (104.53299999999997, 44.47700000000046), (104.53299999999997, 44.54000000000046), (104.53299999999997, 44.60300000000046), (104.53299999999997, 44.666000000000466), (104.53299999999997, 44.72900000000047), (104.53299999999997, 44.79200000000047), (104.53299999999997, 44.85500000000047), (104.53299999999997, 44.918000000000475), (104.53299999999997, 44.98100000000048), (104.53299999999997, 45.04400000000048), (104.53299999999997, 45.10700000000048), (104.53299999999997, 45.170000000000485), (104.53299999999997, 45.23300000000049)]"
14,"[(104.62199999999997, 45.170000000000485)]"
